Filename, RCornea, LCornea, RUpEyelid, LUpEyelid, RLowEyelid, LLowEyelid
insightEBR_frame_353,1859,2406,14066,12367,2969,0
insightEBR_frame_354,1820,2352,14094,12354,2341,0
insightEBR_frame_355,1882,2377,15958,10970,2546,0
insightEBR_frame_356,2464,2497,14852,10969,3590,0
insightEBR_frame_357,1869,2427,13965,9419,1766,0
insightEBR_frame_358,1843,2411,14292,8735,2307,0
insightEBR_frame_359,2495,0,9813,15237,4981,0
insightEBR_frame_360,2239,0,10878,0,4892,0
insightEBR_frame_361,1909,1133,11407,12417,2091,0
insightEBR_frame_362,797,0,14401,0,2989,0
insightEBR_frame_363,1095,855,10929,0,4053,0
insightEBR_frame_364,1168,2095,10263,0,3206,0
insightEBR_frame_365,1388,1739,13737,11453,4450,4516
insightEBR_frame_366,0,2881,0,16219,7156,0
insightEBR_frame_367,0,2814,0,9636,3511,3343
insightEBR_frame_368,0,875,0,7312,4904,3710
insightEBR_frame_369,0,0,0,0,0,0
insightEBR_frame_370,0,0,0,0,0,0
insightEBR_frame_371,0,0,0,0,0,0
insightEBR_frame_372,0,0,11394,0,10878,0
insightEBR_frame_373,1297,0,12694,0,7112,0
insightEBR_frame_374,1989,0,14401,0,4569,0
insightEBR_frame_375,2030,0,13161,0,4314,0
insightEBR_frame_376,2564,0,14884,0,4126,4442
insightEBR_frame_377,3157,1981,13393,9145,6140,6375
insightEBR_frame_378,3316,0,14584,11014,2606,0
insightEBR_frame_379,2473,2829,10786,12404,5068,0
insightEBR_frame_380,1575,2049,11150,13358,2487,4800
insightEBR_frame_381,1693,3371,12140,8969,1279,4725
insightEBR_frame_382,1810,3584,11082,11847,2723,4127
insightEBR_frame_383,2303,3290,13550,8996,1376,3808
insightEBR_frame_384,2413,3056,13131,8243,2367,4035
insightEBR_frame_385,1901,2842,14210,11795,2510,5510
insightEBR_frame_386,1676,3169,13966,0,2256,5780
insightEBR_frame_387,1706,3287,16199,9997,1163,5672
insightEBR_frame_388,1691,3392,15040,13223,1300,5840
insightEBR_frame_389,1686,4387,14556,9327,2646,4892
